SECTION,CATEGORY,SUBCATEGORY,BRAND,SEGMENT_VALUE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_BEFORE,PURCHASE_FREQUENCY_AFTER,PURCHASE_FREQUENCY_BEFORE,SPB_AFTER,SPB_BEFORE,SPT_AFTER,SPT_BEFORE,BUYER_COUNT_GROWTH,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_GROWTH,PURCHASE_FREQUENCY_GROWTH,SPT_GROWTH,SPB_GROWTH,SEGMENT_TYPE,VERSI
BISC & CONFECTIONARY,2226 - SANDWICH BISCUIT,2226B - SANDWICH BISCUIT 50-99G,DILAN,BAG,1.09,1.18,29.67,38.5,85.0,69.0,1.05,1.12,9650.0,10684.0,9190.0,9539.0,0.2319,-0.0763,-0.2294,-0.0625,-0.0366,-0.0968,Packtype,V1
BISC & CONFECTIONARY,2226 - SANDWICH BISCUIT,2226B - SANDWICH BISCUIT 50-99G,JGT,OTHERS,,1.25,,2.0,,4.0,,1.0,,19400.0,,19400.0,,,,,,,Packtype,V1
BISC & CONFECTIONARY,2226 - SANDWICH BISCUIT,2226B - SANDWICH BISCUIT 50-99G,MILO,OTHERS,1.05,,50.67,,144.0,,1.06,,12838.0,,12111.0,,,,,,,,Packtype,V1
BISC & CONFECTIONARY,2226 - SANDWICH BISCUIT,2226B - SANDWICH BISCUIT 50-99G,MUNCHY'S,BAG,2.18,1.2,50.67,158.0,142.0,278.0,1.07,1.14,23157.0,13563.0,21642.0,11897.0,-0.4892,0.8167,-0.6793,-0.0614,0.8191,0.7074,Packtype,V1
BISC & CONFECTIONARY,2226 - SANDWICH BISCUIT,2226B - SANDWICH BISCUIT 50-99G,OREO,POUCH,1.23,1.25,198.67,253.5,498.0,448.0,1.2,1.13,14609.0,13832.0,12174.0,12241.0,0.1116,-0.016,-0.2163,0.0619,-0.0055,0.0562,Packtype,V1
BISC & CONFECTIONARY,2226 - SANDWICH BISCUIT,2226C - SANDWICH BISCUIT 100-150G,BETTER,BAG,1.07,1.06,95.33,187.5,262.0,322.0,1.09,1.16,12975.0,13385.0,11904.0,11539.0,-0.1863,0.0094,-0.4916,-0.0603,0.0316,-0.0306,Packtype,V1
BISC & CONFECTIONARY,2226 - SANDWICH BISCUIT,2226C - SANDWICH BISCUIT 100-150G,BETTER,POUCH,1.08,1.12,60.67,165.0,152.0,294.0,1.2,1.12,17352.0,16594.0,14460.0,14816.0,-0.483,-0.0357,-0.6323,0.0714,-0.024,0.0457,Packtype,V1
BISC & CONFECTIONARY,2226 - SANDWICH BISCUIT,2226C - SANDWICH BISCUIT 100-150G,BISKIES,BAG,1.11,1.19,36.0,71.0,99.0,128.0,1.09,1.11,12065.0,13101.0,11069.0,11803.0,-0.2266,-0.0672,-0.493,-0.018,-0.0622,-0.0791,Packtype,V1
BISC & CONFECTIONARY,2226 - SANDWICH BISCUIT,2226C - SANDWICH BISCUIT 100-150G,BISKUAT,BAG,1.14,1.22,9.67,128.5,28.0,233.0,1.04,1.1,8083.0,9154.0,7772.0,8322.0,-0.8798,-0.0656,-0.9247,-0.0545,-0.0661,-0.117,Packtype,V1
BISC & CONFECTIONARY,2226 - SANDWICH BISCUIT,2226C - SANDWICH BISCUIT 100-150G,IMPERIAL,BAG,1.09,1.09,57.33,63.0,162.0,109.0,1.06,1.16,10245.0,11283.0,9665.0,9727.0,0.4862,0.0,-0.09,-0.0862,-0.0064,-0.092,Packtype,V1
BISC & CONFECTIONARY,2226 - SANDWICH BISCUIT,2226C - SANDWICH BISCUIT 100-150G,KHONG GUAN,BAG,1.06,1.06,41.33,100.5,106.0,189.0,1.17,1.06,13296.0,11509.0,11364.0,10858.0,-0.4392,0.0,-0.5888,0.1038,0.0466,0.1553,Packtype,V1
BISC & CONFECTIONARY,2226 - SANDWICH BISCUIT,2226C - SANDWICH BISCUIT 100-150G,MILO,BAG,1.13,1.17,123.67,237.5,344.0,450.0,1.08,1.06,14149.0,14342.0,13101.0,13530.0,-0.2356,-0.0342,-0.4793,0.0189,-0.0317,-0.0135,Packtype,V1
BISC & CONFECTIONARY,2226 - SANDWICH BISCUIT,2226C - SANDWICH BISCUIT 100-150G,MONDE,OTHERS,1.06,,16.0,,45.0,,1.07,,13651.0,,12758.0,,,,,,,,Packtype,V1
BISC & CONFECTIONARY,2226 - SANDWICH BISCUIT,2226C - SANDWICH BISCUIT 100-150G,NEXTAR,BAG,,1.04,,47.5,,86.0,,1.1,,9781.0,,8892.0,,,,,,,Packtype,V1
BISC & CONFECTIONARY,2226 - SANDWICH BISCUIT,2226C - SANDWICH BISCUIT 100-150G,NYAM-NYAM,OTHERS,,3.0,,1.5,,3.0,,1.0,,73200.0,,73200.0,,,,,,,Packtype,V1
BISC & CONFECTIONARY,2226 - SANDWICH BISCUIT,2226C - SANDWICH BISCUIT 100-150G,OREO,BAG,1.19,1.25,596.67,1111.0,1525.0,1862.0,1.17,1.19,14421.0,14826.0,12326.0,12459.0,-0.181,-0.048,-0.4629,-0.0168,-0.0107,-0.0273,Packtype,V1
BISC & CONFECTIONARY,2226 - SANDWICH BISCUIT,2226C - SANDWICH BISCUIT 100-150G,OREO,OTHERS,1.11,,43.67,,122.0,,1.07,,14143.0,,13218.0,,,,,,,,Packtype,V1
BISC & CONFECTIONARY,2226 - SANDWICH BISCUIT,2226C - SANDWICH BISCUIT 100-150G,OVALTINE,BAG,1.08,1.12,32.0,137.5,85.0,237.0,1.13,1.16,20726.0,21721.0,18342.0,18725.0,-0.6414,-0.0357,-0.7673,-0.0259,-0.0205,-0.0458,Packtype,V1
BISC & CONFECTIONARY,2226 - SANDWICH BISCUIT,2226C - SANDWICH BISCUIT 100-150G,ROMA,BAG,1.15,1.13,256.0,436.0,670.0,742.0,1.15,1.18,16153.0,16185.0,14046.0,13716.0,-0.097,0.0177,-0.4128,-0.0254,0.0241,-0.002,Packtype,V1
BISC & CONFECTIONARY,2226 - SANDWICH BISCUIT,2226C - SANDWICH BISCUIT 100-150G,SERENA,BAG,1.09,1.06,35.33,115.0,92.0,192.0,1.15,1.2,11888.0,11548.0,10337.0,9623.0,-0.5208,0.0283,-0.6928,-0.0417,0.0742,0.0294,Packtype,V1
BISC & CONFECTIONARY,2226 - SANDWICH BISCUIT,2226C - SANDWICH BISCUIT 100-150G,SLAI O'LAI,BAG,1.08,1.08,82.33,220.0,224.0,372.0,1.1,1.18,10506.0,10941.0,9551.0,9272.0,-0.3978,0.0,-0.6258,-0.0678,0.0301,-0.0398,Packtype,V1
BISC & CONFECTIONARY,2226 - SANDWICH BISCUIT,2226D - SANDWICH BISCUIT 160-229G,HATARI,BAG,1.03,1.04,20.0,103.5,57.0,177.0,1.05,1.17,13603.0,14637.0,12955.0,12510.0,-0.678,-0.0096,-0.8068,-0.1026,0.0356,-0.0706,Packtype,V1
BISC & CONFECTIONARY,2226 - SANDWICH BISCUIT,2226D - SANDWICH BISCUIT 160-229G,JULIE'S,OTHERS,,1.25,,2.0,,4.0,,1.0,,44875.0,,44875.0,,,,,,,Packtype,V1
BISC & CONFECTIONARY,2226 - SANDWICH BISCUIT,2226D - SANDWICH BISCUIT 160-229G,KHONG GUAN,BAG,1.05,1.11,69.67,221.0,188.0,383.0,1.11,1.15,17337.0,18108.0,15619.0,15746.0,-0.5091,-0.0541,-0.6848,-0.0348,-0.0081,-0.0426,Packtype,V1
BISC & CONFECTIONARY,2226 - SANDWICH BISCUIT,2226D - SANDWICH BISCUIT 160-229G,MUNCHY'S,BAG,1.19,1.15,43.0,92.5,119.0,164.0,1.08,1.13,38538.0,38976.0,35683.0,34492.0,-0.2744,0.0348,-0.5351,-0.0442,0.0345,-0.0112,Packtype,V1
BISC & CONFECTIONARY,2226 - SANDWICH BISCUIT,2226D - SANDWICH BISCUIT 160-229G,MUNCHY'S,OTHERS,,1.69,,32.0,,53.0,,1.21,,80140.0,,66231.0,,,,,,,Packtype,V1
BISC & CONFECTIONARY,2226 - SANDWICH BISCUIT,2226D - SANDWICH BISCUIT 160-229G,ROMA,BAG,1.11,1.14,138.0,333.0,374.0,592.0,1.11,1.12,16098.0,16244.0,14503.0,14504.0,-0.3682,-0.0263,-0.5856,-0.0089,-0.0001,-0.009,Packtype,V1
BISC & CONFECTIONARY,2226 - SANDWICH BISCUIT,2226D - SANDWICH BISCUIT 160-229G,SLAI O'LAI,BAG,1.08,1.02,21.33,62.0,59.0,119.0,1.08,1.04,16048.0,14617.0,14859.0,14055.0,-0.5042,0.0588,-0.656,0.0385,0.0572,0.0979,Packtype,V1
BISC & CONFECTIONARY,2226 - SANDWICH BISCUIT,2226D - SANDWICH BISCUIT 160-229G,UNIBIS,BAG,1.08,1.11,12.67,66.5,35.0,122.0,1.09,1.09,11169.0,11345.0,10247.0,10408.0,-0.7131,-0.027,-0.8095,0.0,-0.0155,-0.0155,Packtype,V1
BISC & CONFECTIONARY,2226 - SANDWICH BISCUIT,2226E - SANDWICH BISCUIT 230-500G,BETTER,OTHERS,,1.0,,0.5,,1.0,,1.0,,28400.0,,28400.0,,,,,,,Packtype,V1
BISC & CONFECTIONARY,2226 - SANDWICH BISCUIT,2226E - SANDWICH BISCUIT 230-500G,KOKOLA,OTHERS,1.0,,1.33,,4.0,,1.0,,30725.0,,30725.0,,,,,,,,Packtype,V1
BISC & CONFECTIONARY,2226 - SANDWICH BISCUIT,2226E - SANDWICH BISCUIT 230-500G,OREO,BAG,1.07,,5.0,,14.0,,1.07,,25680.0,,24000.0,,,,,,,,Packtype,V1
BISC & CONFECTIONARY,2226 - SANDWICH BISCUIT,2226E - SANDWICH BISCUIT 230-500G,OREO,BOX,,2.43,,14.0,,27.0,,1.04,,56829.0,,54643.0,,,,,,,Packtype,V1
BISC & CONFECTIONARY,2226 - SANDWICH BISCUIT,2226E - SANDWICH BISCUIT 230-500G,OREO,OTHERS,,1.68,,97.0,,163.0,,1.19,,58975.0,,49559.0,,,,,,,Packtype,V1
