CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,PURCHASE_FREQUENCY_BEFORE,PURCHASE_FREQUENCY_AFTER,PURCHASE_FREQUENCY_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,SPB_BEFORE,SPB_AFTER,SPB_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH,TRANSACTION_PENETRATION_BEFORE,TRANSACTION_PENETRATION_AFTER,TRANSACTION_PENETRATION_GROWTH,BUYER_PROMO_BEFORE,BUYER_PROMO_AFTER,BUYER_NON_PROMO_BEFORE,BUYER_NON_PROMO_AFTER,PROMO_SHARE_BEFORE,PROMO_SHARE_AFTER,NON_PROMO_SHARE_BEFORE,NON_PROMO_SHARE_AFTER
5812 - HAIR ACCESSORIES,ACCESSORIES,1.1,1.08,-0.0182,49.5,30.33,-0.3873,1.02,1.01,-0.0098,19463.0,19058.0,-0.0208,19852.0,19249.0,-0.0304,97.0,90.0,-0.0722,0.2538,0.3346,0.3184,19.0,0.0,82.0,90.0,0.1881,0.0,0.8119,1.0
5813 - PIN & SCISSORS NAIL,ACCESSORIES,1.0,1.02,0.02,48.0,21.33,-0.5556,1.01,1.0,-0.0099,20351.0,19533.0,-0.0402,20555.0,19533.0,-0.0497,95.0,64.0,-0.3263,0.2462,0.2353,-0.0443,3.0,7.0,92.0,58.0,0.0316,0.1077,0.9684,0.8923
5814 - BEAUTY ACCESSORIES,ACCESSORIES,1.06,1.14,0.0755,16.0,2.33,-0.8544,1.03,1.0,-0.0291,14491.0,13200.0,-0.0891,14926.0,13200.0,-0.1156,31.0,7.0,-0.7742,0.0821,0.0257,-0.687,3.0,0.0,28.0,7.0,0.0968,0.0,0.9032,1.0
5911 - HAIR ACCESSORIES IMPORT,ACCESSORIES,1.0,1.12,0.12,6.0,2.67,-0.555,1.0,1.0,0.0,20283.0,21462.0,0.0581,20283.0,21462.0,0.0581,12.0,8.0,-0.3333,0.0308,0.0294,-0.0455,6.0,3.0,6.0,5.0,0.5,0.375,0.5,0.625
4741 - CAR AIR FRESHENER,AIR FRESHNER,1.31,1.25,-0.0458,426.5,232.67,-0.4545,1.1,1.07,-0.0273,20241.0,21914.0,0.0827,22265.0,23448.0,0.0531,777.0,652.0,-0.1609,1.0,1.0,0.0,405.0,327.0,430.0,363.0,0.485,0.4739,0.515,0.5261
2411 - SKT (SIGARET KRETEK TANGAN),BACKWALL,1.27,1.24,-0.0236,1039.5,1009.67,-0.0287,1.57,1.68,0.0701,22301.0,21363.0,-0.0421,35013.0,35890.0,0.025,1323.0,1800.0,0.3605,0.1885,0.2251,0.1942,2.0,2.0,1322.0,1799.0,0.0015,0.0011,0.9985,0.9989
2412 - SKM (SIGARET KRETEK MESIN) LTLN,BACKWALL,1.3,1.2,-0.0769,2371.5,1870.33,-0.2113,1.84,1.78,-0.0326,43035.0,40488.0,-0.0592,79184.0,72069.0,-0.0899,2575.0,3152.0,0.2241,0.4301,0.4169,-0.0307,3.0,11.0,2574.0,3147.0,0.0012,0.0035,0.9988,0.9965
2413 - SKM (SIGARET KRETEK MESIN) FF,BACKWALL,1.25,1.21,-0.032,1529.0,1050.67,-0.3128,1.77,1.68,-0.0508,34885.0,34069.0,-0.0234,61746.0,57236.0,-0.073,1732.0,1877.0,0.0837,0.2773,0.2342,-0.1554,7.0,2.0,1728.0,1876.0,0.004,0.0011,0.996,0.9989
2414 - SPM (SIGARET PUTIH MESIN),BACKWALL,1.28,1.28,0.0,609.5,465.67,-0.236,1.9,1.67,-0.1211,46526.0,48305.0,0.0382,88399.0,80669.0,-0.0874,643.0,838.0,0.3033,0.1105,0.1038,-0.0606,9.0,5.0,636.0,837.0,0.014,0.0059,0.986,0.9941
2415 - SIGARET ELEKTRIK,BACKWALL,1.31,1.39,0.0611,218.5,313.0,0.4325,1.49,1.8,0.2081,104073.0,64478.0,-0.3805,155069.0,116060.0,-0.2516,294.0,523.0,0.7789,0.0396,0.0698,0.7626,28.0,209.0,294.0,370.0,0.087,0.361,0.913,0.639
"2421 - LIGHTER, MATCHES & PAPER",BACKWALL,1.05,1.06,0.0095,247.0,190.67,-0.2281,1.13,1.16,0.0265,6683.0,7186.0,0.0753,7552.0,8336.0,0.1038,436.0,494.0,0.133,0.0448,0.0425,-0.0513,0.0,0.0,436.0,494.0,0.0,0.0,1.0,1.0
1113 - MINERAL WATER,BCTB (FLOOR),1.27,1.32,0.0394,396.0,48.33,-0.878,1.33,1.1,-0.1729,39813.0,42022.0,0.0555,52951.0,46224.0,-0.127,596.0,132.0,-0.7785,0.0385,0.0454,0.1792,73.0,65.0,537.0,71.0,0.1197,0.4779,0.8803,0.5221
1119 - MINERAL WATER GALON,BCTB (FLOOR),1.38,1.4,0.0145,8055.0,538.67,-0.9331,2.2,1.47,-0.3318,30612.0,30866.0,0.0083,67346.0,45373.0,-0.3263,7325.0,1101.0,-0.8497,0.7823,0.5055,-0.3538,2475.0,163.0,6162.0,981.0,0.2866,0.1425,0.7134,0.8575
6111 - PACK EGG (NEGERI),BCTB (FLOOR),9.5,6.12,-0.3558,243.5,118.0,-0.5154,1.26,1.24,-0.0159,31090.0,28126.0,-0.0953,39173.0,34876.0,-0.1097,386.0,286.0,-0.2591,0.0236,0.1107,3.6907,55.0,56.0,344.0,244.0,0.1378,0.1867,0.8622,0.8133
6112 - BULKY EGG,BCTB (FLOOR),11.16,10.42,-0.0663,1663.5,306.67,-0.8156,1.57,1.33,-0.1529,25911.0,24609.0,-0.0502,40680.0,32730.0,-0.1954,2125.0,692.0,-0.6744,0.1616,0.2878,0.7809,639.0,547.0,1628.0,158.0,0.2819,0.7759,0.7181,0.2241
