CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,PURCHASE_FREQUENCY_BEFORE,PURCHASE_FREQUENCY_AFTER,PURCHASE_FREQUENCY_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,SPB_BEFORE,SPB_AFTER,SPB_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH,PENETRATION_BEFORE,PENETRATION_AFTER,PENETRATION_GROWTH
1612 - PROCESSED PUDDING,STAPLE NEED,1.66,1.54,-0.0723,661.0,301.33,-0.5441,1.2,1.14,-0.05,20179.0,19485.0,-0.0344,24215.0,22213.0,-0.0827,1100.0,792.0,-0.28,0.0435,0.0452,0.0391
1621 - ESSENCE,STAPLE NEED,1.09,1.13,0.0367,116.5,43.33,-0.6281,1.06,1.03,-0.0283,10827.0,11103.0,0.0255,11477.0,11436.0,-0.0036,219.0,126.0,-0.4247,0.0087,0.0072,-0.1724
1622 - COLOURING & FLAVOURING,STAPLE NEED,1.1,1.12,0.0182,99.0,31.67,-0.6801,1.15,1.08,-0.0609,27352.0,30500.0,0.1151,31455.0,32940.0,0.0472,172.0,88.0,-0.4884,0.0068,0.005,-0.2647
1623 - BAKING POWDER,STAPLE NEED,1.15,1.12,-0.0261,185.5,64.67,-0.6514,1.07,1.05,-0.0187,7920.0,7513.0,-0.0514,8474.0,7889.0,-0.069,348.0,184.0,-0.4713,0.0138,0.0105,-0.2391
1624 - INSTANT PROCESS FOOD,STAPLE NEED,1.15,1.15,0.0,104.5,31.0,-0.7033,1.16,1.12,-0.0345,19408.0,18954.0,-0.0234,22513.0,21228.0,-0.0571,180.0,83.0,-0.5389,0.0071,0.0047,-0.338
1625 - COCONUT MILK,STAPLE NEED,2.26,2.0,-0.115,2022.5,857.33,-0.5761,1.38,1.37,-0.0072,15678.0,13390.0,-0.1459,21636.0,18344.0,-0.1522,2932.0,1876.0,-0.3602,0.1159,0.107,-0.0768
1711 - MSG ( MONO SODIUM GLUTAMATE ),STAPLE NEED,1.2,1.08,-0.1,431.5,215.33,-0.501,1.3,1.25,-0.0385,9054.0,8727.0,-0.0361,11770.0,10909.0,-0.0732,665.0,518.0,-0.2211,0.0263,0.0295,0.1217
1712 - SALT,STAPLE NEED,1.06,1.09,0.0283,563.5,192.33,-0.6587,1.11,1.09,-0.018,11024.0,10806.0,-0.0198,12237.0,11779.0,-0.0374,1014.0,528.0,-0.4793,0.0401,0.0301,-0.2494
1713 - SPICES,STAPLE NEED,1.21,1.07,-0.1157,241.0,46.0,-0.8091,1.14,1.1,-0.0351,11823.0,13519.0,0.1434,13478.0,14871.0,0.1034,423.0,125.0,-0.7045,0.0167,0.0071,-0.5749
1714 - STOCK SOUP,STAPLE NEED,1.3,1.32,0.0154,1521.5,475.67,-0.6874,1.33,1.29,-0.0301,11016.0,11365.0,0.0317,14651.0,14661.0,0.0007,2291.0,1103.0,-0.5186,0.0906,0.0629,-0.3057
1715 - MEAL MAKER,STAPLE NEED,1.81,1.67,-0.0773,1305.0,468.67,-0.6409,1.22,1.21,-0.0082,8890.0,8920.0,0.0034,10846.0,10793.0,-0.0049,2143.0,1159.0,-0.4592,0.0847,0.0661,-0.2196
1716 - FLOUR SEASONING,STAPLE NEED,1.47,1.38,-0.0612,1195.5,539.33,-0.5489,1.23,1.21,-0.0163,11121.0,10274.0,-0.0762,13679.0,12432.0,-0.0912,1948.0,1341.0,-0.3116,0.077,0.0765,-0.0065
"1717 - SHRIMP PASTE, PEANUT SAUCE AND OTHER",STAPLE NEED,1.12,1.2,0.0714,145.5,54.33,-0.6266,1.1,1.12,0.0182,11201.0,12920.0,0.1535,12321.0,14470.0,0.1744,265.0,146.0,-0.4491,0.0105,0.0083,-0.2095
1721 - CHILLI,STAPLE NEED,1.25,1.18,-0.056,2736.5,1251.67,-0.5426,1.21,1.23,0.0165,17324.0,16551.0,-0.0446,20962.0,20358.0,-0.0288,4536.0,3055.0,-0.3265,0.1794,0.1742,-0.029
1722 - TOMATO,STAPLE NEED,1.17,1.19,0.0171,942.5,401.33,-0.5742,1.17,1.17,0.0,15331.0,15887.0,0.0363,17937.0,18588.0,0.0363,1618.0,1033.0,-0.3616,0.064,0.0589,-0.0797
1723 - SOY SAUCE,STAPLE NEED,1.59,1.42,-0.1069,2856.5,1154.33,-0.5959,1.3,1.26,-0.0308,33720.0,29272.0,-0.1319,43836.0,36883.0,-0.1586,4391.0,2753.0,-0.373,0.1736,0.157,-0.0956
1724 - LIQUID SAUCE & VINEGAR,STAPLE NEED,1.18,1.11,-0.0593,1008.5,389.33,-0.614,1.13,1.16,0.0265,20187.0,17077.0,-0.1541,22811.0,19809.0,-0.1316,1787.0,1009.0,-0.4354,0.0707,0.0575,-0.1867
1725 - DRESSING,STAPLE NEED,1.58,1.42,-0.1013,564.0,242.0,-0.5709,1.14,1.18,0.0351,18433.0,16331.0,-0.114,21014.0,19271.0,-0.0829,988.0,614.0,-0.3785,0.0391,0.035,-0.1049
1811 - CANNED MEAT,STAPLE NEED,1.15,1.13,-0.0174,250.5,114.33,-0.5436,1.09,1.18,0.0826,20058.0,21153.0,0.0546,21863.0,24961.0,0.1417,459.0,290.0,-0.3682,0.0182,0.0165,-0.0934
1812 - CANNED SEAFOOD,STAPLE NEED,1.41,1.3,-0.078,930.0,393.0,-0.5774,1.19,1.2,0.0084,22437.0,24144.0,0.0761,26700.0,28973.0,0.0851,1568.0,980.0,-0.375,0.062,0.0559,-0.0984
1813 - CANNED VEGETABLE,STAPLE NEED,1.0,,,1.0,,,1.0,,,11900.0,,,11900.0,,,2.0,,,0.0001,,
1814 - CANNED FRUIT,STAPLE NEED,1.25,,,4.0,,,1.0,,,35162.0,,,35162.0,,,8.0,,,0.0003,,
1821 - DRIED MEAT,STAPLE NEED,1.18,1.21,0.0254,114.5,62.67,-0.4527,1.27,1.31,0.0315,19413.0,19446.0,0.0017,24655.0,25474.0,0.0332,181.0,144.0,-0.2044,0.0072,0.0082,0.1389
1915 - PASTA,STAPLE NEED,2.57,3.17,0.2335,1833.5,1338.33,-0.2701,1.24,1.27,0.0242,12807.0,13928.0,0.0875,15881.0,17689.0,0.1138,2965.0,3150.0,0.0624,0.1172,0.1796,0.5324
1921 - INSTANT SOUP,STAPLE NEED,1.35,1.31,-0.0296,67.0,32.33,-0.5175,1.12,1.17,0.0446,13848.0,13686.0,-0.0117,15510.0,16013.0,0.0324,120.0,83.0,-0.3083,0.0047,0.0047,0.0
1922 - INSTANT RICE,STAPLE NEED,1.5,,,5.0,,,1.11,,,108600.0,,,120546.0,,,9.0,,,0.0004,,
