BRAND,SUBCATEGORY,CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,PURCHASE_FREQUENCY_BEFORE,PURCHASE_FREQUENCY_AFTER,PURCHASE_FREQUENCY_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,SPB_BEFORE,SPB_AFTER,SPB_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH
CRYSTALIN,1113D - MINERAL WATER PET 1-1.5L,1113 - MINERAL WATER,CHILLER,1.19,1.39,0.1681,10.5,10.33,-0.0162,1.0,1.07,0.07,9448.0,8461.0,-0.1045,9448.0,9053.0,-0.0418,21.0,29.0,0.381
LE MINERALE,1113D - MINERAL WATER PET 1-1.5L,1113 - MINERAL WATER,CHILLER,1.38,1.56,0.1304,84.5,66.67,-0.211,1.44,1.27,-0.1181,9269.0,10556.0,0.1388,13347.0,13406.0,0.0044,117.0,157.0,0.3419
NESTLE,1113D - MINERAL WATER PET 1-1.5L,1113 - MINERAL WATER,CHILLER,2.36,1.31,-0.4449,28.0,21.33,-0.2382,1.4,1.52,0.0857,15793.0,8869.0,-0.4384,22110.0,13481.0,-0.3903,40.0,42.0,0.05
VIT,1113D - MINERAL WATER PET 1-1.5L,1113 - MINERAL WATER,CHILLER,1.25,1.0,-0.2,2.0,0.67,-0.665,1.0,1.0,0.0,7750.0,6200.0,-0.2,7750.0,6200.0,-0.2,4.0,2.0,-0.5
ALFA,1113I - FUNCTIONAL DRINK,1113 - MINERAL WATER,CHILLER,1.39,1.21,-0.1295,14.0,11.0,-0.2143,1.17,1.03,-0.1197,6439.0,5164.0,-0.198,7534.0,5319.0,-0.294,24.0,32.0,0.3333
ETERNAL,1113I - FUNCTIONAL DRINK,1113 - MINERAL WATER,CHILLER,1.08,1.58,0.463,12.0,4.0,-0.6667,3.43,1.33,-0.6122,10000.0,14750.0,0.475,34300.0,19618.0,-0.428,7.0,9.0,0.2857
PRISTINE,1113I - FUNCTIONAL DRINK,1113 - MINERAL WATER,CHILLER,2.73,1.84,-0.326,82.0,87.0,0.061,1.3,1.3,0.0,12862.0,8870.0,-0.3104,16721.0,11531.0,-0.3104,126.0,201.0,0.5952
SUPER O2,1113I - FUNCTIONAL DRINK,1113 - MINERAL WATER,CHILLER,1.14,1.64,0.4386,3.5,3.67,0.0486,1.0,1.1,0.1,13686.0,19582.0,0.4308,13686.0,21540.0,0.5739,7.0,10.0,0.4286
FIBE MINI,1114A - ISOTONIC DRINK PET 100-250ML,1114 - ISOTONIC DRINK,CHILLER,1.29,1.07,-0.1705,7.0,4.67,-0.3329,1.08,1.0,-0.0741,9650.0,8121.0,-0.1584,10422.0,8121.0,-0.2208,13.0,14.0,0.0769
HYDRO COCO,1114A - ISOTONIC DRINK PET 100-250ML,1114 - ISOTONIC DRINK,CHILLER,1.18,1.26,0.0678,37.0,22.67,-0.3873,1.16,1.06,-0.0862,10166.0,11322.0,0.1137,11793.0,12001.0,0.0176,64.0,64.0,0.0
