PLU,DESCP,CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,PURCHASE_FREQUENCY_BEFORE,PURCHASE_FREQUENCY_AFTER,PURCHASE_FREQUENCY_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,SPB_BEFORE,SPB_AFTER,SPB_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH
459814,EXODUS ORI 20,2412 - SKM (SIGARET KRETEK MESIN) LTLN,BACKWALL,,1.0,,,2.33,,,1.0,,,31500.0,,,31500.0,,,7.0,
118330,GEO MILD MERAH 16,2412 - SKM (SIGARET KRETEK MESIN) LTLN,BACKWALL,1.05,1.13,0.0762,28.5,17.67,-0.38,1.12,1.18,0.0536,29368.0,32132.0,0.0941,32892.0,37916.0,0.1527,51.0,45.0,-0.1176
442051,GLIZZ PURPLE 16,2412 - SKM (SIGARET KRETEK MESIN) LTLN,BACKWALL,1.0,1.0,0.0,1.0,0.67,-0.33,1.0,2.0,1.0,24000.0,25200.0,0.05,24000.0,50400.0,1.1,2.0,1.0,-0.5
424836,GRENDEL MILD INTERNATIONAL 16,2412 - SKM (SIGARET KRETEK MESIN) LTLN,BACKWALL,1.14,1.0,-0.1228,3.5,1.67,-0.5229,1.17,1.0,-0.1453,26400.0,23140.0,-0.1235,30888.0,23140.0,-0.2508,6.0,5.0,-0.1667
113965,GG SURYA PRO MILD 16,2412 - SKM (SIGARET KRETEK MESIN) LTLN,BACKWALL,1.6,1.5,-0.0625,5.0,3.33,-0.334,1.11,1.11,0.0,51220.0,55220.0,0.0781,56854.0,61294.0,0.0781,9.0,9.0,0.0
240010,GG MILD SHIVER 16,2412 - SKM (SIGARET KRETEK MESIN) LTLN,BACKWALL,,1.2,,,1.67,,,1.25,,,43880.0,,,54850.0,,,4.0,
402198,GG SIGNATURE MILD BLUE 16,2412 - SKM (SIGARET KRETEK MESIN) LTLN,BACKWALL,1.33,1.0,-0.2481,9.0,2.33,-0.7411,1.38,1.0,-0.2754,44322.0,36643.0,-0.1733,61164.0,36643.0,-0.4009,13.0,7.0,-0.4615
446824,HS ORIGINAL SLIM 20,2412 - SKM (SIGARET KRETEK MESIN) LTLN,BACKWALL,1.25,1.05,-0.16,33.5,19.67,-0.4128,1.26,1.28,0.0159,39630.0,31844.0,-0.1965,49934.0,40760.0,-0.1837,53.0,46.0,-0.1321
446825,HS MENTHOL SLIM 20,2412 - SKM (SIGARET KRETEK MESIN) LTLN,BACKWALL,1.07,1.16,0.0841,22.5,10.33,-0.5409,1.25,1.19,-0.048,33671.0,35326.0,0.0492,42089.0,42038.0,-0.0012,36.0,26.0,-0.2778
446826,HS CLICK SLIM 20,2412 - SKM (SIGARET KRETEK MESIN) LTLN,BACKWALL,1.04,,,24.5,,,1.2,,,38592.0,,,46310.0,,,41.0,,
446826,HS FRESH MINT CLICK SLIM 20,2412 - SKM (SIGARET KRETEK MESIN) LTLN,BACKWALL,,1.08,,,8.67,,,1.18,,,38281.0,,,45172.0,,,22.0,
459356,HS MILD ORIGINAL 16,2412 - SKM (SIGARET KRETEK MESIN) LTLN,BACKWALL,,1.09,,,7.67,,,1.21,,,31083.0,,,37610.0,,,19.0,
459357,HS MILD PURPLE ICE 16,2412 - SKM (SIGARET KRETEK MESIN) LTLN,BACKWALL,,1.05,,,13.33,,,1.05,,,29970.0,,,31468.0,,,38.0,
459358,HS MILD MANGO ICE 16,2412 - SKM (SIGARET KRETEK MESIN) LTLN,BACKWALL,,1.05,,,12.33,,,1.12,,,30127.0,,,33742.0,,,33.0,
459359,HS BOLD 20,2412 - SKM (SIGARET KRETEK MESIN) LTLN,BACKWALL,,1.0,,,1.67,,,1.0,,,31620.0,,,31620.0,,,5.0,
465876,HS PURPLE CLICK 20,2412 - SKM (SIGARET KRETEK MESIN) LTLN,BACKWALL,1.07,1.0,-0.0654,15.0,10.0,-0.3333,1.11,1.03,-0.0721,39467.0,35570.0,-0.0987,43808.0,36637.0,-0.1637,27.0,29.0,0.0741
