SUBCATEGORY,CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,PURCHASE_FREQUENCY_BEFORE,PURCHASE_FREQUENCY_AFTER,PURCHASE_FREQUENCY_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,SPB_BEFORE,SPB_AFTER,SPB_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH
1231A - TRADITIONAL DRINK SACHET 4-8S,1231 - TRADITIONAL DRINK,BEVERAGES,1.13,1.24,0.0973,180.0,121.33,-0.3259,1.14,1.19,0.0439,12848.0,14532.0,0.1311,14647.0,17293.0,0.1807,317.0,305.0,-0.0379
1231B - TRADITIONAL DRINK SACHET >=10S,1231 - TRADITIONAL DRINK,BEVERAGES,1.0,1.23,0.23,10.5,10.0,-0.0476,1.0,1.03,0.03,23024.0,27943.0,0.2136,23024.0,28781.0,0.25,21.0,29.0,0.381
2023D - TETRAPAK LIQUID MILK 900-1000ML,2023 - TETRAPACK LIQUID MILK,BEVERAGES,1.51,1.41,-0.0662,4899.0,1718.0,-0.6493,1.58,1.48,-0.0633,33133.0,29655.0,-0.105,52350.0,43889.0,-0.1616,6209.0,3472.0,-0.4408
2023E - TETRAPAK LIQUID MILK PACKED,2023 - TETRAPACK LIQUID MILK,BEVERAGES,1.46,2.16,0.4795,1480.5,1020.67,-0.3106,1.44,1.48,0.0278,25630.0,37925.0,0.4797,36907.0,56129.0,0.5208,2050.0,2075.0,0.0122
1311A - JAM 120-180G,1311 - JAM,BREAD CORNER (BC),1.08,1.07,-0.0093,393.0,195.33,-0.503,1.12,1.15,0.0268,22638.0,21160.0,-0.0653,25355.0,24334.0,-0.0403,701.0,510.0,-0.2725
1311B - JAM 200-300G,1311 - JAM,BREAD CORNER (BC),1.03,1.02,-0.0097,36.0,18.33,-0.4908,1.04,1.12,0.0769,27789.0,21027.0,-0.2433,28901.0,23550.0,-0.1851,69.0,49.0,-0.2899
1311C - JAM 340-400G,1311 - JAM,BREAD CORNER (BC),1.05,,,10.5,,,1.31,,,58295.0,,,76366.0,,,16.0,,
1312A - CHOCOLATE SPREAD,1312 - CHOCOLATE SPREAD,BREAD CORNER (BC),1.03,1.03,0.0,508.5,219.33,-0.5687,1.14,1.14,0.0,42122.0,40294.0,-0.0434,48019.0,45935.0,-0.0434,892.0,575.0,-0.3554
1313A - CHOCO RICE 90G,1313 - CHOCO RICE,BREAD CORNER (BC),1.05,1.06,0.0095,863.0,315.67,-0.6342,1.17,1.17,0.0,12122.0,12860.0,0.0609,14183.0,15046.0,0.0608,1478.0,807.0,-0.454
1313B - CHOCO RICE 225G,1313 - CHOCO RICE,BREAD CORNER (BC),1.06,1.09,0.0283,182.5,60.67,-0.6676,1.23,1.11,-0.0976,27583.0,28738.0,0.0419,33927.0,31899.0,-0.0598,297.0,164.0,-0.4478
1314A - CHEESE SLICE,1314 - CHEESE,BREAD CORNER (BC),1.22,1.21,-0.0082,889.0,288.33,-0.6757,1.25,1.18,-0.056,17047.0,17509.0,0.0271,21309.0,20661.0,-0.0304,1418.0,736.0,-0.481
1314B - CHEESE BLOCK,1314 - CHEESE,BREAD CORNER (BC),1.22,1.19,-0.0246,1608.0,672.67,-0.5817,1.26,1.24,-0.0159,21424.0,20048.0,-0.0642,26994.0,24860.0,-0.0791,2556.0,1624.0,-0.3646
1314C - CHEESE SPREAD,1314 - CHEESE,BREAD CORNER (BC),1.36,1.31,-0.0368,453.0,178.67,-0.6056,1.2,1.26,0.05,21803.0,21071.0,-0.0336,26164.0,26549.0,0.0147,758.0,425.0,-0.4393
6611A - WHITE BREAD,6611 - BREAD,BREAD CORNER (BC),1.05,1.05,0.0,5895.0,2627.33,-0.5543,1.54,1.55,0.0065,17938.0,18257.0,0.0178,27625.0,28298.0,0.0244,7642.0,5091.0,-0.3338
6611B - SWEET BREAD,6611 - BREAD,BREAD CORNER (BC),1.37,1.29,-0.0584,3149.0,1555.67,-0.506,1.35,1.34,-0.0074,12568.0,12071.0,-0.0395,16967.0,16175.0,-0.0467,4668.0,3485.0,-0.2534
6611C - SANDWICH BREAD,6611 - BREAD,BREAD CORNER (BC),1.43,1.49,0.042,1504.0,1026.67,-0.3174,1.27,1.32,0.0394,8072.0,8131.0,0.0073,10251.0,10733.0,0.047,2375.0,2337.0,-0.016
