BUYER_ID,SECTION,BRAND,CATEGORY_BEFORE,CATEGORY_AFTER,SWITCH_FLAG,PROMO_FLAG
MEM_9990010003180097,CHILLER,HYDRO COCO,1114 - ISOTONIC DRINK,1114 - ISOTONIC DRINK,NO_SWITCH,NON PROMO
MEM_9990010003180097,HOUSE HOLD,HIT,3611 - AEROSOL INSECTICIDES,3611 - AEROSOL INSECTICIDES,NO_SWITCH,PROMO
MEM_9990010003180097,HOUSE HOLD,MAMA,3516 - DISHWASHING CLEANER,3516 - DISHWASHING CLEANER,NO_SWITCH,PROMO
MEM_9990010003180097,PERSONAL CARE,GIV,3222 - BEAUTY LIQUID SOAP,3222 - BEAUTY LIQUID SOAP,NO_SWITCH,PROMO
MEM_9990010003180097,STAPLE NEED,SUNCO,1521 - PALM COOKING OIL,1521 - PALM COOKING OIL,NO_SWITCH,PROMO
MEM_9990010003198583,BISC & CONFECTIONARY,WAFELLO,2227 - WAFER BISCUIT,2227 - WAFER BISCUIT,NO_SWITCH,NON PROMO
MEM_9990010003366885,CHILLER,YOU C1000,1116 - VITAMIN DRINK,1116 - VITAMIN DRINK,NO_SWITCH,PROMO
MEM_9990010003566100,CHILLER,CIMORY,6212 - YOGHURT,6212 - YOGHURT,NO_SWITCH,NON PROMO
MEM_9990010003566100,HOUSE HOLD,KISPRAY,3724 - IRONING,3724 - IRONING,NO_SWITCH,NON PROMO
MEM_9990010003569732,BEVERAGES,GREENFIELDS,2023 - TETRAPACK LIQUID MILK,2023 - TETRAPACK LIQUID MILK,NO_SWITCH,PROMO
MEM_9990010003569732,BISC & CONFECTIONARY,NARAYA,2222 - COOKIES BISCUIT,2222 - COOKIES BISCUIT,NO_SWITCH,NON PROMO
MEM_9990010003569732,BISC & CONFECTIONARY,UBM,2223 - CRACKER BISCUIT,2223 - CRACKER BISCUIT,NO_SWITCH,NON PROMO
MEM_9990010003569732,BREAKFAST,FRISIAN FLAG,2021 - SWEETENED CONDENSED MILK,2021 - SWEETENED CONDENSED MILK,NO_SWITCH,PROMO
MEM_9990010003569732,CHILLER,PRISTINE,1113 - MINERAL WATER,1113 - MINERAL WATER,NO_SWITCH,PROMO
MEM_9990010003569732,MEJA KASIR,ALFAMART,4633 - LEISURE BAG,4633 - LEISURE BAG,NO_SWITCH,NON PROMO
MEM_9990010003569732,NOODLE,SEDAAP,1911 - INSTANT NOODLE BAG,1911 - INSTANT NOODLE BAG,NO_SWITCH,PROMO
MEM_9990010003569732,STAPLE NEED,ROSE BRAND,1512 - SUGAR,1512 - SUGAR,NO_SWITCH,NON PROMO
MEM_9990010003602438,BACKWALL,CHIEF,2411 - SKT (SIGARET KRETEK TANGAN),2411 - SKT (SIGARET KRETEK TANGAN),NO_SWITCH,NON PROMO
MEM_9990010003661497,MEJA KASIR,ALFAMART,4633 - LEISURE BAG,4633 - LEISURE BAG,NO_SWITCH,PROMO
MEM_9990010003664194,CHILLER,CIMORY,2023 - TETRAPACK LIQUID MILK,2023 - TETRAPACK LIQUID MILK,NO_SWITCH,NON PROMO
MEM_9990010003664194,CHILLER,CIMORY,6212 - YOGHURT,2023 - TETRAPACK LIQUID MILK,SWITCH,NON PROMO
MEM_9990010003664194,HOUSE HOLD,VAPE,3611 - AEROSOL INSECTICIDES,3615 - ELECTRIC INSECTICIDES,SWITCH,NON PROMO
MEM_9990010003664194,HOUSE HOLD,VAPE,3615 - ELECTRIC INSECTICIDES,3615 - ELECTRIC INSECTICIDES,NO_SWITCH,NON PROMO
MEM_9990010003664194,PERSONAL CARE,MAKARIZO,3211 - SHAMPOO,3217 - HAIR MASK,SWITCH,PROMO
MEM_9990010003664194,PERSONAL CARE,MAKARIZO,3218 - HAIR VITAMIN,3217 - HAIR MASK,SWITCH,PROMO
MEM_9990010003676474,BISC & CONFECTIONARY,RICHEESE,2227 - WAFER BISCUIT,2227 - WAFER BISCUIT,NO_SWITCH,NON PROMO
MEM_9990010003676474,BISC & CONFECTIONARY,WAFELLO,2227 - WAFER BISCUIT,2227 - WAFER BISCUIT,NO_SWITCH,NON PROMO
MEM_9990010003691900,NOODLE,INDOMIE,1911 - INSTANT NOODLE BAG,1911 - INSTANT NOODLE BAG,NO_SWITCH,PROMO
MEM_9990010003691900,STAPLE NEED,ROSE BRAND,1512 - SUGAR,1512 - SUGAR,NO_SWITCH,NON PROMO
MEM_9990010003692090,CHILLER,LE MINERALE,1113 - MINERAL WATER,1113 - MINERAL WATER,NO_SWITCH,PROMO
MEM_9990010003692090,CHILLER,PUCUK HARUM,1154 - RTD TEA,1154 - RTD TEA,NO_SWITCH,PROMO
MEM_9990010003692090,HOUSE HOLD,MAMA,3516 - DISHWASHING CLEANER,3516 - DISHWASHING CLEANER,NO_SWITCH,PROMO
MEM_9990010003692090,HOUSE HOLD,RINSO,3714 - LIQUID DETERGENT,3714 - LIQUID DETERGENT,NO_SWITCH,PROMO
MEM_9990010003692090,HOUSE HOLD,SOKLIN,3714 - LIQUID DETERGENT,3511 - FLOOR CLEANER,SWITCH,PROMO
MEM_9990010003692090,HOUSE HOLD,SOKLIN,3714 - LIQUID DETERGENT,3714 - LIQUID DETERGENT,NO_SWITCH,PROMO
MEM_9990010003692090,HOUSE HOLD,SOKLIN,3722 - CONCENTRATE FABRIC CONDITIONER,3511 - FLOOR CLEANER,SWITCH,PROMO
MEM_9990010003692090,HOUSE HOLD,SOKLIN,3722 - CONCENTRATE FABRIC CONDITIONER,3714 - LIQUID DETERGENT,SWITCH,PROMO
MEM_9990010003692090,HOUSE HOLD,STELLA,3623 - AEROSOL AIR FRESHENER,3624 - GEL AIR FRESHENER,SWITCH,PROMO
MEM_9990010003692090,HOUSE HOLD,YURI,3513 - TOILET CLEANER,3513 - TOILET CLEANER,NO_SWITCH,PROMO
MEM_9990010003692090,NOODLE,INDOMIE,1911 - INSTANT NOODLE BAG,1911 - INSTANT NOODLE BAG,NO_SWITCH,NON PROMO
MEM_9990010003692090,PERSONAL CARE,ALFAMART,3225 - HAND SOAP,3225 - HAND SOAP,NO_SWITCH,PROMO
MEM_9990010003692090,PERSONAL CARE,K NATURAL,3222 - BEAUTY LIQUID SOAP,3222 - BEAUTY LIQUID SOAP,NO_SWITCH,PROMO
MEM_9990010003692090,PERSONAL CARE,SERASOFT,3211 - SHAMPOO,3211 - SHAMPOO,NO_SWITCH,PROMO
MEM_9990010003692090,SANITARY ADULT,CHARM,3321 - SANITARY NAPKINS WINGS,3321 - SANITARY NAPKINS WINGS,NO_SWITCH,PROMO
MEM_9990010003692090,SNACK,GARUDA,2211 - PEANUTS,2211 - PEANUTS,NO_SWITCH,PROMO
MEM_9990010003692090,STAPLE NEED,TROPICAL,1521 - PALM COOKING OIL,1521 - PALM COOKING OIL,NO_SWITCH,PROMO
MEM_9990010003801789,HOUSE HOLD,HIT,3615 - ELECTRIC INSECTICIDES,3615 - ELECTRIC INSECTICIDES,NO_SWITCH,NON PROMO
MEM_9990010003801789,MEDICINE & BABY CARE,SIDOMUNCUL,3131 - TRADITIONAL & CHINESE,3131 - TRADITIONAL & CHINESE,NO_SWITCH,PROMO
MEM_9990010003851400,ICE CREAM,WALL'S,6242 - IMPULSE ICE CREAM,6242 - IMPULSE ICE CREAM,NO_SWITCH,NON PROMO
MEM_9990010003863915,HOUSE HOLD,SOKLIN,3714 - LIQUID DETERGENT,3714 - LIQUID DETERGENT,NO_SWITCH,PROMO
MEM_9990010003863915,HOUSE HOLD,SOKLIN,3714 - LIQUID DETERGENT,3723 - DILUTE FABRIC CONDITIONER,SWITCH,PROMO
MEM_9990010003960759,HOUSE HOLD,SOKLIN,3714 - LIQUID DETERGENT,3511 - FLOOR CLEANER,SWITCH,PROMO
MEM_9990010003960759,HOUSE HOLD,SOKLIN,3714 - LIQUID DETERGENT,3714 - LIQUID DETERGENT,NO_SWITCH,PROMO
MEM_9990010003960759,HOUSE HOLD,YURI,3513 - TOILET CLEANER,3513 - TOILET CLEANER,NO_SWITCH,PROMO
MEM_9990010003960759,TISSUE,ALFAMART,3311 - FACIAL TISSUE,3311 - FACIAL TISSUE,NO_SWITCH,NON PROMO
MEM_9990010003978775,BISC & CONFECTIONARY,NEXTAR,2222 - COOKIES BISCUIT,2222 - COOKIES BISCUIT,NO_SWITCH,NON PROMO
MEM_9990010003978775,BREAD CORNER (BC),MY ROTI,6611 - BREAD,6611 - BREAD,NO_SWITCH,NON PROMO
